Cell,Original Cluster,Cluster Nr
Cell2458_1,Group1,1
Cell2459_1,Group1,1
Cell2460_1,Group1,1
Cell2461_1,Group3,3
Cell2462_1,Group4,4
Cell2463_1,Group2,2
Cell2464_1,Group3,3
Cell2465_1,Group3,3
Cell2466_1,Group4,4
Cell2467_1,Group5,5
Cell2468_1,Group2,2
Cell2469_1,Group4,4
Cell2470_1,Group3,3
Cell2471_1,Group5,5
Cell2472_1,Group5,5
Cell2473_1,Group3,3
Cell2474_1,Group4,4
Cell2475_1,Group5,5
Cell2476_1,Group2,2
Cell2477_1,Group1,1
Cell2478_1,Group5,5
Cell2479_1,Group2,2
Cell2480_1,Group3,3
Cell2481_1,Group4,4
Cell2482_1,Group4,4
Cell2483_1,Group5,5
Cell2484_1,Group4,4
Cell2485_1,Group1,1
Cell2486_1,Group3,3
Cell2487_1,Group1,1
Cell2488_1,Group5,5
Cell2489_1,Group4,4
Cell2490_1,Group3,3
Cell2491_1,Group4,4
Cell2492_1,Group4,4
Cell2493_1,Group3,3
Cell2494_1,Group3,3
Cell2495_1,Group2,2
Cell2496_1,Group3,3
Cell2497_1,Group3,3
Cell2498_1,Group4,4
Cell2499_1,Group4,4
Cell2500_1,Group2,2
Cell2501_1,Group5,5
Cell2502_1,Group4,4
Cell2503_1,Group4,4
Cell2504_1,Group5,5
Cell2505_1,Group5,5
Cell2506_1,Group1,1
Cell2507_1,Group4,4
Cell2508_1,Group2,2
Cell2509_1,Group4,4
Cell2510_1,Group1,1
Cell2511_1,Group2,2
Cell2512_1,Group4,4
Cell2513_1,Group4,4
Cell2514_1,Group4,4
Cell2515_1,Group4,4
Cell2516_1,Group5,5
Cell2517_1,Group4,4
Cell2518_1,Group1,1
Cell2519_1,Group2,2
Cell2520_1,Group4,4
Cell2521_1,Group2,2
Cell2522_1,Group2,2
Cell2523_1,Group3,3
Cell2524_1,Group5,5
Cell2525_1,Group5,5
Cell2526_1,Group5,5
Cell2527_1,Group2,2
Cell2528_1,Group1,1
Cell2529_1,Group4,4
Cell2530_1,Group1,1
Cell2531_1,Group2,2
Cell2532_1,Group1,1
Cell2533_1,Group3,3
Cell2534_1,Group5,5
Cell2535_1,Group1,1
Cell2536_1,Group2,2
Cell2537_1,Group4,4
Cell2538_1,Group4,4
Cell2539_1,Group5,5
Cell2540_1,Group5,5
Cell2541_1,Group3,3
Cell2542_1,Group3,3
Cell2543_1,Group1,1
Cell2544_1,Group4,4
Cell2545_1,Group3,3
Cell2546_1,Group2,2
Cell2547_1,Group1,1
Cell2548_1,Group5,5
Cell2549_1,Group5,5
Cell2550_1,Group1,1
Cell2551_1,Group1,1
Cell2552_1,Group5,5
Cell2553_1,Group3,3
Cell2554_1,Group5,5
Cell2555_1,Group2,2
Cell2556_1,Group5,5
Cell2557_1,Group3,3
Cell2558_1,Group2,2
Cell2559_1,Group1,1
Cell2560_1,Group1,1
Cell2561_1,Group2,2
Cell2562_1,Group1,1
Cell2563_1,Group4,4
Cell2564_1,Group5,5
Cell2565_1,Group2,2
Cell2566_1,Group4,4
Cell2567_1,Group4,4
Cell2568_1,Group5,5
Cell2569_1,Group1,1
Cell2570_1,Group4,4
Cell2571_1,Group5,5
Cell2572_1,Group5,5
Cell2573_1,Group2,2
Cell2574_1,Group3,3
Cell2575_1,Group2,2
Cell2576_1,Group3,3
Cell2577_1,Group5,5
Cell2578_1,Group3,3
Cell2579_1,Group2,2
Cell2580_1,Group5,5
Cell2581_1,Group2,2
Cell2582_1,Group3,3
Cell2583_1,Group5,5
Cell2584_1,Group4,4
Cell2585_1,Group3,3
Cell2586_1,Group5,5
Cell2587_1,Group5,5
Cell2588_1,Group3,3
Cell2589_1,Group5,5
Cell2590_1,Group4,4
Cell2591_1,Group3,3
Cell2592_1,Group5,5
Cell2593_1,Group3,3
Cell2594_1,Group5,5
Cell2595_1,Group4,4
Cell2596_1,Group5,5
Cell2597_1,Group5,5
Cell2598_1,Group3,3
Cell2599_1,Group1,1
Cell2600_1,Group1,1
Cell2601_1,Group5,5
Cell2602_1,Group4,4
Cell2603_1,Group4,4
Cell2604_1,Group4,4
Cell2605_1,Group2,2
Cell2606_1,Group3,3
Cell2607_1,Group3,3
Cell2608_1,Group4,4
Cell2609_1,Group5,5
Cell2610_1,Group2,2
Cell2611_1,Group4,4
Cell2612_1,Group3,3
Cell2613_1,Group1,1
Cell2614_1,Group2,2
Cell2615_1,Group5,5
Cell2616_1,Group5,5
Cell2617_1,Group2,2
Cell2618_1,Group5,5
Cell2619_1,Group3,3
Cell2620_1,Group1,1
Cell2621_1,Group2,2
Cell2622_1,Group3,3
Cell2623_1,Group2,2
Cell2624_1,Group5,5
Cell2625_1,Group1,1
Cell2626_1,Group5,5
Cell2627_1,Group4,4
Cell2628_1,Group4,4
Cell2629_1,Group5,5
Cell2630_1,Group2,2
Cell2631_1,Group5,5
Cell2632_1,Group2,2
Cell2633_1,Group2,2
Cell2634_1,Group3,3
Cell2635_1,Group2,2
Cell2636_1,Group3,3
Cell2637_1,Group3,3
Cell2638_1,Group1,1
Cell2639_1,Group1,1
Cell2640_1,Group4,4
Cell2641_1,Group5,5
Cell2642_1,Group5,5
Cell2643_1,Group4,4
Cell2644_1,Group4,4
Cell2645_1,Group3,3
Cell2646_1,Group1,1
Cell2647_1,Group2,2
Cell2648_1,Group1,1
Cell2649_1,Group2,2
Cell2650_1,Group5,5
Cell2651_1,Group1,1
Cell2652_1,Group4,4
Cell2653_1,Group3,3
Cell2654_1,Group3,3
Cell2655_1,Group3,3
Cell2656_1,Group4,4
Cell2657_1,Group2,2
Cell2658_1,Group3,3
Cell2659_1,Group4,4
Cell2660_1,Group4,4
Cell2661_1,Group4,4
Cell2662_1,Group3,3
Cell2663_1,Group4,4
Cell2664_1,Group3,3
Cell2665_1,Group3,3
Cell2666_1,Group3,3
Cell2667_1,Group4,4
Cell2668_1,Group3,3
Cell2669_1,Group1,1
Cell2670_1,Group2,2
Cell2671_1,Group2,2
Cell2672_1,Group2,2
Cell2673_1,Group2,2
Cell2674_1,Group4,4
Cell2675_1,Group3,3
Cell2676_1,Group4,4
Cell2677_1,Group1,1
Cell2678_1,Group4,4
Cell2679_1,Group3,3
Cell2680_1,Group3,3
Cell2681_1,Group2,2
Cell2682_1,Group5,5
Cell2683_1,Group3,3
Cell2684_1,Group4,4
Cell2685_1,Group5,5
Cell2686_1,Group5,5
Cell2687_1,Group1,1
Cell2688_1,Group5,5
Cell2689_1,Group1,1
Cell2690_1,Group1,1
Cell2691_1,Group2,2
Cell2692_1,Group2,2
Cell2693_1,Group5,5
Cell2694_1,Group3,3
Cell2695_1,Group5,5
Cell2696_1,Group4,4
Cell2697_1,Group1,1
Cell2698_1,Group3,3
Cell2699_1,Group3,3
Cell2700_1,Group5,5
Cell2701_1,Group1,1
Cell2702_1,Group1,1
Cell2703_1,Group4,4
Cell2704_1,Group3,3
Cell2705_1,Group4,4
Cell2706_1,Group4,4
Cell2707_1,Group1,1
Cell2708_1,Group3,3
Cell2709_1,Group4,4
Cell2710_1,Group1,1
Cell2711_1,Group3,3
Cell2712_1,Group5,5
Cell2713_1,Group3,3
Cell2714_1,Group1,1
Cell2715_1,Group1,1
Cell2716_1,Group4,4
Cell2717_1,Group2,2
Cell2718_1,Group4,4
Cell2719_1,Group5,5
Cell2720_1,Group5,5
Cell2721_1,Group5,5
Cell2722_1,Group3,3
Cell2723_1,Group1,1
Cell2724_1,Group2,2
Cell2725_1,Group2,2
Cell2726_1,Group5,5
Cell2727_1,Group1,1
Cell2728_1,Group3,3
Cell2729_1,Group4,4
Cell2730_1,Group2,2
Cell2731_1,Group5,5
Cell2732_1,Group2,2
Cell2733_1,Group5,5
Cell2734_1,Group5,5
Cell2735_1,Group2,2
Cell2736_1,Group5,5
Cell2737_1,Group2,2
Cell2738_1,Group2,2
Cell2739_1,Group4,4
Cell2740_1,Group4,4
Cell2741_1,Group4,4
Cell2742_1,Group1,1
Cell2743_1,Group2,2
Cell2744_1,Group5,5
Cell2745_1,Group3,3
Cell2746_1,Group5,5
Cell2747_1,Group3,3
Cell2748_1,Group3,3
Cell2749_1,Group4,4
Cell2750_1,Group5,5
Cell2751_1,Group1,1
Cell2752_1,Group4,4
Cell2753_1,Group5,5
Cell2754_1,Group5,5
Cell2755_1,Group3,3
Cell2756_1,Group5,5
Cell2757_1,Group3,3
Cell2758_1,Group2,2
Cell2759_1,Group3,3
Cell2760_1,Group5,5
Cell2761_1,Group4,4
Cell2762_1,Group5,5
Cell2763_1,Group2,2
Cell2764_1,Group3,3
Cell2765_1,Group2,2
Cell2766_1,Group1,1
Cell2767_1,Group2,2
Cell2768_1,Group2,2
Cell2769_1,Group1,1
Cell2770_1,Group2,2
Cell2771_1,Group4,4
Cell2772_1,Group2,2
Cell2773_1,Group4,4
Cell2774_1,Group4,4
Cell2775_1,Group3,3
Cell2776_1,Group5,5
Cell2777_1,Group3,3
Cell2778_1,Group2,2
Cell2779_1,Group5,5
Cell2780_1,Group3,3
Cell2781_1,Group5,5
Cell2782_1,Group3,3
Cell2783_1,Group4,4
Cell2784_1,Group2,2
Cell2785_1,Group1,1
Cell2786_1,Group2,2
Cell2787_1,Group2,2
Cell2788_1,Group5,5
Cell2789_1,Group1,1
Cell2790_1,Group4,4
Cell2791_1,Group4,4
Cell2792_1,Group1,1
Cell2793_1,Group3,3
Cell2794_1,Group3,3
Cell2795_1,Group2,2
Cell2796_1,Group1,1
Cell2797_1,Group1,1
Cell2798_1,Group5,5
Cell2799_1,Group4,4
Cell2800_1,Group5,5
Cell2801_1,Group4,4
Cell2802_1,Group5,5
Cell2803_1,Group2,2
Cell2804_1,Group1,1
Cell2805_1,Group3,3
Cell2806_1,Group4,4
Cell2807_1,Group4,4
Cell2808_1,Group4,4
Cell2809_1,Group1,1
Cell2810_1,Group3,3
Cell2811_1,Group4,4
Cell2812_1,Group5,5
Cell2813_1,Group2,2
Cell2814_1,Group3,3
Cell2815_1,Group2,2
Cell2816_1,Group1,1
Cell2817_1,Group5,5
Cell2818_1,Group1,1
Cell2819_1,Group5,5
Cell2820_1,Group1,1
Cell2821_1,Group2,2
Cell2822_1,Group4,4
Cell2823_1,Group4,4
Cell2824_1,Group4,4
Cell2825_1,Group5,5
Cell2826_1,Group3,3
Cell2827_1,Group4,4
Cell2828_1,Group5,5
Cell2829_1,Group1,1
Cell2830_1,Group4,4
Cell2831_1,Group2,2
Cell2832_1,Group1,1
Cell2833_1,Group4,4
Cell2834_1,Group3,3
Cell2835_1,Group1,1
Cell2836_1,Group2,2
Cell2837_1,Group3,3
Cell2838_1,Group1,1
Cell2839_1,Group2,2
Cell2840_1,Group1,1
Cell2841_1,Group2,2
Cell2842_1,Group4,4
Cell2843_1,Group3,3
Cell2844_1,Group3,3
Cell2845_1,Group5,5
Cell2846_1,Group1,1
Cell2847_1,Group1,1
Cell2848_1,Group4,4
Cell2849_1,Group3,3
Cell2850_1,Group5,5
Cell2851_1,Group3,3
Cell2852_1,Group3,3
Cell2853_1,Group3,3
Cell2854_1,Group4,4
Cell2855_1,Group5,5
Cell2856_1,Group1,1
Cell2857_1,Group2,2
Cell2858_1,Group4,4
Cell2859_1,Group2,2
Cell2860_1,Group2,2
Cell2861_1,Group4,4
Cell2862_1,Group4,4
Cell2863_1,Group4,4
Cell2864_1,Group1,1
Cell2865_1,Group1,1
Cell2866_1,Group4,4
Cell2867_1,Group5,5
Cell2868_1,Group5,5
Cell2869_1,Group1,1
Cell2870_1,Group5,5
Cell2871_1,Group2,2
Cell2872_1,Group2,2
Cell2873_1,Group5,5
Cell2874_1,Group3,3
Cell2875_1,Group3,3
Cell2876_1,Group4,4
Cell2877_1,Group2,2
Cell2878_1,Group4,4
Cell2879_1,Group3,3
Cell2880_1,Group5,5
Cell2881_1,Group4,4
Cell2882_1,Group2,2
Cell2883_1,Group5,5
Cell2884_1,Group1,1
Cell2885_1,Group1,1
Cell2886_1,Group3,3
Cell2887_1,Group3,3
Cell2888_1,Group1,1
Cell2889_1,Group1,1
Cell2890_1,Group3,3
Cell2891_1,Group1,1
Cell2892_1,Group1,1
Cell2893_1,Group1,1
Cell2894_1,Group5,5
Cell2895_1,Group2,2
Cell2896_1,Group5,5
Cell2897_1,Group4,4
Cell2898_1,Group2,2
Cell2899_1,Group5,5
Cell2900_1,Group2,2
Cell2901_1,Group3,3
Cell2902_1,Group4,4
Cell2903_1,Group2,2
Cell2904_1,Group3,3
Cell2905_1,Group3,3
Cell2906_1,Group3,3
Cell2907_1,Group4,4
Cell2908_1,Group4,4
Cell2909_1,Group4,4
Cell2910_1,Group5,5
Cell2911_1,Group3,3
Cell2912_1,Group4,4
Cell2913_1,Group2,2
Cell2914_1,Group2,2
Cell2915_1,Group5,5
Cell2916_1,Group4,4
Cell2917_1,Group1,1
Cell2918_1,Group2,2
Cell2919_1,Group3,3
Cell2920_1,Group4,4
Cell2921_1,Group2,2
Cell2922_1,Group4,4
Cell2923_1,Group4,4
Cell2924_1,Group2,2
Cell2925_1,Group2,2
Cell2926_1,Group4,4
Cell2927_1,Group3,3
Cell2928_1,Group2,2
Cell2929_1,Group4,4
Cell2930_1,Group1,1
Cell2931_1,Group2,2
Cell2932_1,Group5,5
Cell2933_1,Group5,5
Cell2934_1,Group4,4
Cell2935_1,Group2,2
Cell2936_1,Group2,2
Cell2937_1,Group1,1
Cell2938_1,Group1,1
Cell2939_1,Group4,4
Cell2940_1,Group3,3
Cell2941_1,Group2,2
Cell2942_1,Group4,4
Cell2943_1,Group1,1
Cell2944_1,Group1,1
Cell2945_1,Group2,2
Cell2946_1,Group2,2
Cell2947_1,Group1,1
Cell2948_1,Group4,4
Cell2949_1,Group4,4
Cell2950_1,Group5,5
Cell2951_1,Group2,2
Cell2952_1,Group4,4
Cell2953_1,Group1,1
Cell2954_1,Group4,4
Cell2955_1,Group1,1
Cell2956_1,Group1,1
Cell2957_1,Group1,1
Cell2958_1,Group4,4
Cell2959_1,Group3,3
Cell2960_1,Group5,5
Cell2961_1,Group1,1
Cell2962_1,Group2,2
Cell2963_1,Group5,5
Cell2964_1,Group4,4
Cell2965_1,Group2,2
Cell2966_1,Group3,3
Cell2967_1,Group5,5
Cell2968_1,Group4,4
Cell2969_1,Group2,2
Cell2970_1,Group1,1
Cell2971_1,Group4,4
Cell2972_1,Group2,2
Cell2973_1,Group5,5
Cell2974_1,Group4,4
Cell2975_1,Group3,3
Cell2976_1,Group3,3
Cell2977_1,Group5,5
Cell2978_1,Group1,1
Cell2979_1,Group3,3
Cell2980_1,Group5,5
Cell2981_1,Group1,1
Cell2982_1,Group4,4
Cell2983_1,Group4,4
Cell2984_1,Group1,1
Cell2985_1,Group5,5
Cell2986_1,Group4,4
Cell2987_1,Group2,2
Cell2988_1,Group1,1
Cell2989_1,Group5,5
Cell2990_1,Group4,4
Cell2991_1,Group4,4
Cell2992_1,Group5,5
Cell2993_1,Group4,4
Cell2994_1,Group1,1
Cell2995_1,Group4,4
Cell2996_1,Group1,1
Cell2997_1,Group1,1
Cell2998_1,Group5,5
Cell2999_1,Group3,3
Cell3000_1,Group4,4
Cell3001_1,Group2,2
Cell3002_1,Group4,4
Cell3003_1,Group3,3
Cell3004_1,Group1,1
Cell3005_1,Group4,4
Cell3006_1,Group1,1
Cell3007_1,Group2,2
Cell3008_1,Group5,5
Cell3009_1,Group4,4
Cell3010_1,Group1,1
Cell3011_1,Group2,2
Cell3012_1,Group2,2
Cell3013_1,Group2,2
Cell3014_1,Group5,5
Cell3015_1,Group5,5
Cell3016_1,Group3,3
Cell3017_1,Group2,2
Cell3018_1,Group1,1
Cell3019_1,Group4,4
Cell3020_1,Group4,4
Cell3021_1,Group3,3
Cell3022_1,Group1,1
Cell3023_1,Group3,3
Cell3024_1,Group1,1
Cell3025_1,Group3,3
Cell3026_1,Group3,3
Cell3027_1,Group4,4
Cell3028_1,Group3,3
Cell3029_1,Group4,4
Cell3030_1,Group2,2
Cell3031_1,Group3,3
Cell3032_1,Group5,5
Cell3033_1,Group3,3
Cell3034_1,Group5,5
Cell3035_1,Group3,3
Cell3036_1,Group1,1
Cell3037_1,Group5,5
Cell3038_1,Group5,5
Cell3039_1,Group3,3
Cell3040_1,Group5,5
Cell3041_1,Group5,5
Cell3042_1,Group3,3
Cell3043_1,Group3,3
Cell3044_1,Group3,3
Cell3045_1,Group5,5
Cell3046_1,Group4,4
Cell3047_1,Group2,2
Cell3048_1,Group4,4
Cell3049_1,Group3,3
Cell3050_1,Group4,4
Cell3051_1,Group1,1
Cell3052_1,Group5,5
Cell3053_1,Group5,5
Cell3054_1,Group5,5
Cell3055_1,Group5,5
Cell3056_1,Group4,4
Cell3057_1,Group5,5
Cell3058_1,Group3,3
Cell3059_1,Group4,4
Cell3060_1,Group4,4
Cell3061_1,Group1,1
Cell3062_1,Group1,1
Cell3063_1,Group1,1
Cell3064_1,Group3,3
Cell3065_1,Group5,5
Cell3066_1,Group5,5
Cell3067_1,Group3,3
Cell3068_1,Group5,5
Cell3069_1,Group3,3
Cell3070_1,Group5,5
Cell3071_1,Group1,1
Cell3072_1,Group1,1
Cell3073_1,Group3,3
Cell3074_1,Group3,3
Cell3075_1,Group3,3
Cell3076_1,Group4,4
Cell3077_1,Group4,4
Cell3078_1,Group2,2
Cell3079_1,Group5,5
Cell3080_1,Group1,1
Cell3081_1,Group2,2
Cell3082_1,Group5,5
Cell3083_1,Group4,4
Cell3084_1,Group2,2
Cell3085_1,Group2,2
Cell3086_1,Group1,1
Cell3087_1,Group3,3
Cell3088_1,Group5,5
Cell3089_1,Group4,4
Cell3090_1,Group4,4
Cell3091_1,Group3,3
Cell3092_1,Group2,2
Cell3093_1,Group1,1
Cell3094_1,Group2,2
Cell3095_1,Group1,1
Cell3096_1,Group1,1
Cell3097_1,Group3,3
Cell3098_1,Group4,4
Cell3099_1,Group1,1
Cell3100_1,Group2,2
Cell3101_1,Group4,4
Cell3102_1,Group3,3
Cell3103_1,Group1,1
Cell3104_1,Group2,2
Cell3105_1,Group4,4
Cell3106_1,Group1,1
Cell3107_1,Group3,3
Cell3108_1,Group4,4
Cell3109_1,Group2,2
Cell3110_1,Group3,3
Cell3111_1,Group1,1
Cell3112_1,Group1,1
Cell3113_1,Group3,3
Cell3114_1,Group1,1
Cell3115_1,Group1,1
Cell3116_1,Group2,2
Cell3117_1,Group2,2
Cell3118_1,Group4,4
Cell3119_1,Group1,1
Cell3120_1,Group4,4
Cell3121_1,Group5,5
Cell3122_1,Group2,2
Cell3123_1,Group2,2
Cell3124_1,Group3,3
Cell3125_1,Group1,1
Cell3126_1,Group2,2
Cell3127_1,Group4,4
Cell3128_1,Group1,1
Cell3129_1,Group5,5
Cell3130_1,Group2,2
Cell3131_1,Group5,5
Cell3132_1,Group5,5
Cell3133_1,Group3,3
Cell3134_1,Group5,5
Cell3135_1,Group2,2
Cell3136_1,Group2,2
Cell3137_1,Group2,2
Cell3138_1,Group4,4
Cell3139_1,Group4,4
Cell3140_1,Group3,3
Cell3141_1,Group3,3
Cell3142_1,Group4,4
Cell3143_1,Group4,4
Cell3144_1,Group5,5
Cell3145_1,Group4,4
Cell3146_1,Group5,5
Cell3147_1,Group4,4
Cell3148_1,Group4,4
Cell3149_1,Group3,3
Cell3150_1,Group3,3
Cell3151_1,Group4,4
Cell3152_1,Group2,2
Cell3153_1,Group3,3
Cell3154_1,Group5,5
Cell3155_1,Group5,5
Cell3156_1,Group5,5
Cell3157_1,Group5,5
Cell3158_1,Group2,2
Cell3159_1,Group1,1
Cell3160_1,Group3,3
Cell3161_1,Group3,3
Cell3162_1,Group5,5
Cell3163_1,Group2,2
Cell3164_1,Group4,4
Cell3165_1,Group4,4
Cell3166_1,Group3,3
Cell3167_1,Group3,3
Cell3168_1,Group2,2
Cell3169_1,Group1,1
Cell3170_1,Group1,1
Cell3171_1,Group2,2
Cell3172_1,Group2,2
Cell3173_1,Group3,3
Cell3174_1,Group5,5
Cell3175_1,Group2,2
Cell3176_1,Group1,1
Cell3177_1,Group1,1
Cell3178_1,Group5,5
Cell3179_1,Group1,1
Cell3180_1,Group1,1
Cell3181_1,Group3,3
Cell3182_1,Group1,1
Cell3183_1,Group4,4
Cell3184_1,Group3,3
Cell3185_1,Group5,5
Cell3186_1,Group2,2
Cell3187_1,Group4,4
Cell3188_1,Group5,5
Cell3189_1,Group5,5
Cell3190_1,Group5,5
Cell3191_1,Group5,5
Cell3192_1,Group1,1
Cell3193_1,Group4,4
Cell3194_1,Group3,3
Cell3195_1,Group2,2
Cell3196_1,Group2,2
Cell3197_1,Group1,1
Cell3198_1,Group1,1
Cell3199_1,Group2,2
Cell3200_1,Group3,3
Cell3201_1,Group2,2
Cell3202_1,Group5,5
Cell3203_1,Group2,2
Cell3204_1,Group2,2
Cell3205_1,Group3,3
Cell3206_1,Group2,2
Cell3207_1,Group1,1
Cell3208_1,Group4,4
Cell3209_1,Group3,3
Cell3210_1,Group2,2
Cell3211_1,Group2,2
Cell3212_1,Group4,4
Cell3213_1,Group5,5
Cell3214_1,Group5,5
Cell3215_1,Group5,5
Cell3216_1,Group1,1
Cell3217_1,Group1,1
Cell3218_1,Group4,4
Cell3219_1,Group3,3
Cell3220_1,Group2,2
Cell3221_1,Group5,5
Cell3222_1,Group3,3
Cell3223_1,Group5,5
Cell3224_1,Group5,5
Cell3225_1,Group5,5
Cell3226_1,Group5,5
Cell3227_1,Group5,5
Cell3228_1,Group1,1
Cell3229_1,Group5,5
Cell3230_1,Group4,4
Cell3231_1,Group2,2
Cell3232_1,Group4,4
Cell3233_1,Group4,4
Cell3234_1,Group1,1
Cell3235_1,Group5,5
Cell3236_1,Group3,3
Cell3237_1,Group5,5
Cell3238_1,Group5,5
Cell3239_1,Group3,3
Cell3240_1,Group4,4
Cell3241_1,Group2,2
Cell3242_1,Group5,5
Cell3243_1,Group3,3
Cell3244_1,Group1,1
Cell3245_1,Group5,5
Cell3246_1,Group2,2
Cell3247_1,Group1,1
Cell3248_1,Group3,3
Cell3249_1,Group2,2
Cell3250_1,Group1,1
Cell3251_1,Group4,4
Cell3252_1,Group1,1
Cell3253_1,Group5,5
Cell3254_1,Group4,4
Cell3255_1,Group4,4
Cell3256_1,Group1,1
Cell3257_1,Group2,2
Cell3258_1,Group1,1
Cell3259_1,Group5,5
Cell3260_1,Group5,5
Cell3261_1,Group1,1
Cell3262_1,Group2,2
Cell3263_1,Group5,5
Cell3264_1,Group5,5
Cell3265_1,Group5,5
Cell3266_1,Group2,2
Cell3267_1,Group1,1
Cell3268_1,Group1,1
Cell3269_1,Group4,4
Cell3270_1,Group4,4
Cell3271_1,Group2,2
Cell3272_1,Group1,1
Cell3273_1,Group4,4
Cell3274_1,Group5,5
Cell3275_1,Group3,3
Cell3276_1,Group3,3
Cell3277_1,Group1,1
Cell3278_1,Group2,2
Cell3279_1,Group4,4
Cell3280_1,Group5,5
Cell3281_1,Group4,4
Cell3282_1,Group3,3
Cell3283_1,Group4,4
Cell3284_1,Group4,4
Cell3285_1,Group5,5
Cell3286_1,Group5,5
Cell3287_1,Group1,1
Cell3288_1,Group1,1
Cell3289_1,Group5,5
Cell3290_1,Group1,1
Cell3291_1,Group1,1
Cell3292_1,Group4,4
Cell3293_1,Group4,4
Cell3294_1,Group4,4
Cell3295_1,Group4,4
Cell3296_1,Group4,4
Cell3297_1,Group2,2
Cell3298_1,Group2,2
Cell3299_1,Group1,1
Cell3300_1,Group2,2
Cell3301_1,Group3,3
Cell3302_1,Group4,4
Cell3303_1,Group3,3
Cell3304_1,Group1,1
Cell3305_1,Group2,2
Cell3306_1,Group5,5
Cell3307_1,Group1,1
Cell3308_1,Group1,1
Cell3309_1,Group5,5
Cell3310_1,Group1,1
Cell3311_1,Group4,4
Cell3312_1,Group1,1
Cell3313_1,Group1,1
Cell3314_1,Group2,2
Cell3315_1,Group5,5
Cell3316_1,Group3,3
Cell3317_1,Group5,5
Cell3318_1,Group4,4
Cell3319_1,Group3,3
Cell3320_1,Group2,2
Cell3321_1,Group2,2
Cell3322_1,Group3,3
Cell3323_1,Group4,4
Cell3324_1,Group4,4
Cell3325_1,Group4,4
Cell3326_1,Group4,4
Cell3327_1,Group2,2
Cell3328_1,Group1,1
Cell3329_1,Group3,3
Cell3330_1,Group4,4
Cell3331_1,Group2,2
Cell3332_1,Group3,3
Cell3333_1,Group4,4
Cell3334_1,Group5,5
Cell3335_1,Group2,2
Cell3336_1,Group5,5
Cell3337_1,Group3,3
Cell3338_1,Group2,2
Cell3339_1,Group5,5
Cell3340_1,Group5,5
Cell3341_1,Group2,2
Cell3342_1,Group4,4
Cell3343_1,Group3,3
Cell3344_1,Group2,2
Cell3345_1,Group3,3
Cell3346_1,Group4,4
Cell3347_1,Group3,3
Cell3348_1,Group3,3
Cell3349_1,Group5,5
Cell3350_1,Group5,5
Cell3351_1,Group1,1
Cell3352_1,Group2,2
Cell3353_1,Group4,4
Cell3354_1,Group5,5
Cell3355_1,Group3,3
Cell3356_1,Group1,1
Cell3357_1,Group4,4
Cell3358_1,Group1,1
Cell3359_1,Group3,3
Cell3360_1,Group3,3
Cell3361_1,Group4,4
Cell3362_1,Group2,2
Cell3363_1,Group1,1
Cell3364_1,Group3,3
Cell3365_1,Group5,5
Cell3366_1,Group2,2
Cell3367_1,Group3,3
Cell3368_1,Group5,5
Cell3369_1,Group1,1
Cell3370_1,Group5,5
Cell3371_1,Group5,5
Cell3372_1,Group5,5
Cell3373_1,Group3,3
Cell3374_1,Group5,5
Cell3375_1,Group5,5
Cell3376_1,Group2,2
Cell3377_1,Group5,5
Cell3378_1,Group4,4
Cell3379_1,Group1,1
Cell3380_1,Group1,1
Cell3381_1,Group4,4
Cell3382_1,Group3,3
Cell3383_1,Group2,2
Cell3384_1,Group1,1
Cell3385_1,Group1,1
Cell3386_1,Group4,4
Cell3387_1,Group5,5
Cell3388_1,Group3,3
Cell3389_1,Group5,5
Cell3390_1,Group1,1
Cell3391_1,Group2,2
Cell3392_1,Group4,4
Cell3393_1,Group4,4
Cell3394_1,Group3,3
Cell3395_1,Group4,4
Cell3396_1,Group2,2
Cell3397_1,Group2,2
Cell3398_1,Group1,1
Cell3399_1,Group5,5
Cell3400_1,Group4,4
Cell3401_1,Group1,1
Cell3402_1,Group3,3
Cell3403_1,Group3,3
Cell3404_1,Group3,3
Cell3405_1,Group4,4
Cell3406_1,Group5,5
Cell3407_1,Group2,2
Cell3408_1,Group4,4
Cell3409_1,Group3,3
Cell3410_1,Group5,5
Cell3411_1,Group5,5
Cell3412_1,Group3,3
Cell3413_1,Group3,3
Cell3414_1,Group5,5
Cell3415_1,Group2,2
Cell3416_1,Group3,3
Cell3417_1,Group2,2
Cell3418_1,Group4,4
Cell3419_1,Group1,1
Cell3420_1,Group4,4
Cell3421_1,Group1,1
Cell3422_1,Group3,3
Cell3423_1,Group2,2
Cell3424_1,Group5,5
Cell3425_1,Group2,2
Cell3426_1,Group5,5
Cell3427_1,Group3,3
Cell3428_1,Group1,1
Cell3429_1,Group1,1
Cell3430_1,Group1,1
Cell3431_1,Group5,5
Cell3432_1,Group4,4
Cell3433_1,Group1,1
Cell3434_1,Group2,2
Cell3435_1,Group5,5
Cell3436_1,Group4,4
Cell3437_1,Group3,3
Cell3438_1,Group4,4
Cell3439_1,Group2,2
Cell3440_1,Group2,2
Cell3441_1,Group1,1
Cell3442_1,Group2,2
Cell3443_1,Group5,5
Cell3444_1,Group2,2
Cell3445_1,Group4,4
Cell3446_1,Group2,2
Cell3447_1,Group3,3
Cell3448_1,Group3,3
Cell3449_1,Group1,1
Cell3450_1,Group5,5
Cell3451_1,Group4,4
Cell3452_1,Group1,1
Cell3453_1,Group1,1
Cell3454_1,Group2,2
Cell3455_1,Group5,5
